title,description,source,date
Canada Reaches for Its Economic Past to Find a Future Less Reliant on the U.S.,Prime Minister Mark Carney fast-tracked mines and other natural resource projects to the dismay of some Indigenous groups and many environmentalists.,nytimes.com,2025-11-13T23:42:04Z
What to Know About Canada’s New Budget,The government of Prime Minister Mark Carney unveiled a program of big spending to spur Canada’s economy and reduce its dependence on the United States.,nytimes.com,2025-11-04T23:59:15Z
"Spurned by Trump, Carney Begins Thawing Canada’s China Connection","The meeting between Prime Minister Mark Carney and Xi Jinping, China’s top leader, came after a long period of tension and estrangement.",nytimes.com,2025-11-01T10:00:07Z
Carney Says He Apologized to Trump Over Ad Reviving Reagan’s Tariff Criticism,The Canadian prime minister also said that he had asked the province of Ontario not to air the ad that later prompted the president to end trade talks.,nytimes.com,2025-11-01T08:43:09Z
Canada’s Other Superpower Problem,The leaders of Canada and China met for the first time in eight years to try to reset relations after years of acrimony.,nytimes.com,2025-10-31T04:01:06Z
"Scolded by Trump, Canada’s Prime Minister Turns to Asia for Trade",Mark Carney is pitching Canada as a predictable and responsible alternative to the United States.,nytimes.com,2025-10-28T13:57:41Z
Carney Says He Will Meet With Xi in South Korea,"The meeting between Prime Minister Mark Carney of Canada and Xi Jinping, China’s top leader, scheduled for later this week, appeared to signal a pivot to Asia after decades of poor relations between his country and Beijing.",nytimes.com,2025-10-27T13:31:52Z
How Canada Is Dealing With Its Latest Tussle With President Trump,"Prime Minister Mark Carney is focusing on what the country can control, including looking for economic partnerships abroad, especially in Asia.",nytimes.com,2025-10-26T19:17:05Z
Trump Announces Tariff Increase on Canada Over Reagan Ad Spat,"The ad, which will stop airing on Monday, used audio of a 1987 address by Ronald Reagan making a case against tariffs.",nytimes.com,2025-10-25T21:07:12Z
Canada-U.S. Tensions Stay on the Ball Field as Blue Jays Stun Dodgers,"At Game 1 of the World Series in Toronto on Friday, overt politics were absent. Unity between the two nations was on display before the first pitch.",nytimes.com,2025-10-25T18:35:11Z
"Facing Lost Trade With the U.S., Carney Heads to Asia",The prime minister will attend two meetings and visit three countries as part of his plan to wean Canada off its dependence on the U.S.,nytimes.com,2025-10-25T10:00:07Z
"New Trump-Canada Spat Spotlights ‘Captain Canada,’ the Ontario Premier",Doug Ford has built a reputation for picking fights with President Trump and getting under his skin with publicity-grabbing moves as U.S. tariffs have harmed Ontario’s economy.,nytimes.com,2025-10-24T16:05:24Z
Trump Says He’s Cutting Off Trade Negotiations With Canada,"The president said he was motivated by an ad, paid for by the province of Ontario, that featured Ronald Reagan criticizing tariffs in a 1987 radio address.",nytimes.com,2025-10-24T03:23:10Z
"In Nod to Trump, Automaker Stellantis Shifts Production From Canada to the U.S.",Canadian leaders blame the move by Stellantis to abandon production in Ontario on President Trump’s tariffs. Mr. Trump says he wants to increase production in the United States.,nytimes.com,2025-10-15T16:09:09Z
"Carney and Trump: A Collision Avoided, Save for a Nasty Comment or Two","The Canadian prime minister came to Washington determined to take the heat out of the relationship. He mostly succeeded, at least for now.",nytimes.com,2025-10-07T23:47:58Z
Trump Predicts That ‘Canada Will Love Us Again’ in Meeting With Carney,"President Trump on Tuesday hosted Prime Minister Mark Carney of Canada, who has been seeking relief from U.S. tariffs.",nytimes.com,2025-10-07T09:02:06Z
Canada and the U.S. to Hold Trade and Security Talks,Prime Minister Mark Carney of Canada will travel to Washington next week to meet with President Trump to try to ease some of the tariffs imposed by the United States.,nytimes.com,2025-10-03T18:51:04Z
Canada and Mexico Turn to Trains and Ports to Skirt U.S. Tariff Wall,Prime Minister Mark Carney touched down in Mexico City to regain Mexico’s trust and strategize with President Claudia Sheinbaum.,nytimes.com,2025-09-20T10:00:11Z
Leaders of Canada and Mexico Talk Trade and Security Without U.S.,Looming over the discussions was the desire to preserve the countries’ free-trade agreement with the United States.,nytimes.com,2025-09-18T09:04:21Z
‘Elbows Down’? Canada’s Leader Struggles to Find the Answer to Trump.,"After a stunning election victory on an anti-Trump message, Prime Minister Mark Carney is adjusting to the realities of dealing with the United States. Critics call it capitulation.",nytimes.com,2025-09-15T09:00:46Z
Canada Announces Major Projects to Offset Bite of Trump’s Tariffs,Prime Minister Mark Carney unveiled big infrastructure plans. But they are likely to meet resistance from Indigenous and environmental groups.,nytimes.com,2025-09-11T19:39:01Z
"Hoping to Jump-Start Talks, Canada to Drop Some Retaliatory Tariffs on U.S. Products",Canada’s leader said he would follow the United States in dropping tariffs against American goods covered by the existing free trade agreement.,nytimes.com,2025-08-22T16:57:38Z
"Facing Trump’s Threats, Mexico and Canada Draw Closer. Will It Last?",Mexico and Canada have long viewed each other with indifference or even distrust. They’re now talking about teaming up.,nytimes.com,2025-08-20T09:01:51Z
A Pay Raise for Canada’s Military to Boost Recruitment and Retention,"Canada’s top military commander, however, says other measures will also be needed to keep people enlisted.",nytimes.com,2025-08-09T10:00:13Z
"With Canada No Longer Able to Rely on U.S., Carney Pushes New Markets","Prime Minister Mark Carney suggested he’s unlikely to add additional retaliatory tariffs on U.S. goods, but he is trying to help affected companies develop new products and find new buyers.",nytimes.com,2025-08-05T23:57:07Z
What Do Trump’s Tariff Hikes Mean for Canada’s Trade-Dependent Economy?,"After Canada failed to strike a trade deal with Washington, the president raised tariffs on some Canadian exports this week.",nytimes.com,2025-08-02T10:00:07Z
Trump Gives Mexico a Reprieve but Slams Canada With Higher Tariffs,"The imbalance in President Trump’s treatment of America’s closest trading partners may come from his desire to make Canada the 51st state, some Canadians believe.",nytimes.com,2025-08-01T04:51:41Z
Canada to Recognize Palestinian State at the U.N. General Assembly,"Canada joins France and Britain in taking similar steps, after months of increasing criticism of Israel by Prime Minister Mark Carney.",nytimes.com,2025-07-30T21:30:51Z
Trump Trade Deals Threaten Canada’s Vital Auto Industry,"Recent pacts with Britain, Europe and Japan mean that autos exported from those countries and regions face lower U.S. tariffs than Canadian vehicles do.",nytimes.com,2025-07-29T21:06:02Z
"Unified on Trump and Tariffs, Canada’s Premiers Differ on Next Steps",A three-day meeting in response to President Trump’s looming tariff threat underscored differences between the leaders of Canada’s provinces and territories.,nytimes.com,2025-07-23T21:52:49Z
Canada Says It Won’t Accept a Trade Deal With the U.S. at ‘Any Cost’,"Prime Minister Mark Carney, after a meeting with Canada’s political leaders, downplayed the chances of success in talks aimed at reaching a trade deal with President Trump.",nytimes.com,2025-07-22T21:27:48Z
Canada Moves to Block Chinese Steel Now Shut Out of the U.S.,Canada’s steel industry fears that Chinese steel facing steep tariffs in the United States will be sent north and overwhelm the Canadian market.,nytimes.com,2025-07-16T19:34:11Z
Canada’s Leader Says There’s Little Hope of Avoiding U.S. Tariffs,"After long insisting that Canada could avoid Trump tariffs through talks, Mark Carney now says that is unlikely for any nation.",nytimes.com,2025-07-15T23:10:07Z
"In Canada’s Northern Outposts, Rusting Relics Once Guarded Against Nuclear War",Strings of radars stretching across Canada were built to give early warnings of Soviet bombers coming over the Arctic. The region now faces a new era of militarization.,nytimes.com,2025-07-13T09:00:32Z
"‘He’s Nuts, Your Trump.’ Canada Unites Against America.",America’s growing discord with Canada exemplifies the extraordinary damage President Trump is wreaking on the United States’ standing in the world.,nytimes.com,2025-07-13T05:00:05Z
Good Vibes in Trump Trade Talks Haven’t Shielded Canada From Chaos,"The country’s new prime minister, Mark Carney, has been called the “Trump whisperer,” and negotiations have been cordial and professional. But it’s been a wild ride.",nytimes.com,2025-07-11T11:43:52Z
Canada Thinks Its Trade Talks With Trump Are Unique. Does That Matter?,Tariff negotiations between the two top trading partners are on a different track from those the U.S. is pursuing with other nations. But Canada may not get a better outcome.,nytimes.com,2025-07-09T12:52:56Z
"Looking Beyond the U.S. for Trade, Canada Begins Shipping Natural Gas to Asia","A tanker is headed to South Korea with a first shipment of liquefied natural gas from Canada, which hopes to reduce its export reliance on its neighbor.",nytimes.com,2025-07-07T09:03:13Z
"Carney’s ‘Build, Baby, Build’ Faces Pushback From Indigenous Groups",Prime Minister Mark Carney wants to fast-track nation-building projects to remake Canada’s economy. Indigenous groups want a seat at the table.,nytimes.com,2025-07-05T09:01:09Z
Canada’s Tax U-turn Highlights Trump Tariff Tactics,"After President Trump suspended trade talks with Canada over its controversial digital services tax, Ottawa scrapped it to get back to the negotiating table.",nytimes.com,2025-06-30T22:06:34Z
Can Canada Offset Trump’s Tariff War With More Domestic Trade?,Prime Minister Mark Carney will meet his pledge to eliminate the country’s internal trade barriers by July 1. But economists say it’s not a substitute for lost U.S. trade.,nytimes.com,2025-06-30T09:02:31Z
Canada’s Trump-Fueled Brain Gain,The University of Toronto has attracted several U.S. professors amid turmoil between American higher-education institutions and the Trump administration.,nytimes.com,2025-06-28T09:00:44Z
No-Go Zones for a Sandwich in a Divided Canadian City,A city that straddles two Canadian provinces became a crucible of the barriers that prevent trade across Canada and that Prime Minister Mark Carney wants to dismantle.,nytimes.com,2025-06-26T09:02:04Z
Canada and E.U. Pull Together as America Pushes Them Away,"The European Union and Canada struck a defense agreement on Monday, a step toward closer military cooperation as relations with the United States have soured.",nytimes.com,2025-06-23T20:01:28Z
India and Canada Move to Mend Rift Over Sikh Activist’s Killing,The rapprochement comes months after each country had expelled the other’s senior diplomats.,nytimes.com,2025-06-18T10:32:24Z
Flattery or Discipline? The Difficult Task of Managing Trump.,Canada’s prime minister Mark Carney deployed both methods on the first day of the Group of 7 summit in Alberta to keep Mr. Trump focused and avoid drama.,nytimes.com,2025-06-17T00:52:28Z
"After Decades of Atrophy, Canada Vows to Beef Up Its Military. Can It Deliver?","To help shift the country away from its dependence on the United States, Canada’s prime minister plans to spend billions to revitalize its military and meet a NATO spending goal.",nytimes.com,2025-06-15T09:01:14Z
What to Know About Trump’s Meeting With Global Leaders in Canada,President Trump left the G7 summit early and abruptly to deal with the conflict between Israel and Iran.,nytimes.com,2025-06-15T09:01:08Z
Group of 7 Mountain Summit Time,Canada is hosting the major global meeting with President Trump and other world leaders. Here’s what to expect.,nytimes.com,2025-06-14T10:00:06Z
Canada Commits Billions in Military Spending to Meet NATO Target,"Prime Minister Mark Carney promised to hit the alliance’s 2 percent spending threshold this year, seven years ahead of a previous schedule.",nytimes.com,2025-06-09T21:40:56Z
King Charles Visits Canada in a Subtle Rebuke to Trump,"The British monarch, who is Canada’s official head of state, is coming at a moment when President Trump has threatened the country’s sovereignty.",nytimes.com,2025-05-26T09:02:39Z
"Senators Visit Canada, Seeking a Reset Amid Trump’s Provocations","Democrats and one Republican made the trip, seeking to stabilize the U.S.-Canada relationship after President Trump imposed tariffs on Canada and suggested it should become the 51st state.",nytimes.com,2025-05-24T01:17:38Z
America’s New Ambassador to Canada Tamps Down Annexation Talk,"Despite his friendly tone, Pete Hoekstra offered no indication of when, or if, the United States will remove its tariffs against Canada.",nytimes.com,2025-05-17T10:00:06Z
Tariffs Drive Honda to Move S.U.V. Production From Canada to U.S.,President Trump’s trade war again tests Canada’s new government. Honda is also postponing  a major electric vehicle factory in Canada.,nytimes.com,2025-05-13T14:33:18Z
Does the United States ‘Need’ Canada?,"President Trump seems to think not. The industries he constantly mentions when he pushes his case, including autos, energy and lumber, beg to differ.",nytimes.com,2025-05-12T09:01:37Z
Trump Surprises Canada With a New Message: We Love You,"President Trump played nice when he came face-to-face with the new prime minister of Canada, the country he has spent months belittling.",nytimes.com,2025-05-06T22:23:24Z
Carney Tells Trump Canada ‘Is Not for Sale’ During White House Visit,The Canadian prime minister met with President Trump days after being elected on an anti-Trump platform as relations between the two allies are at a historic nadir.,nytimes.com,2025-05-06T09:03:27Z
A New Trend in Global Elections: The Anti-Trump Bump,"In voting in Canada and Australia, right-wing parties that borrowed from the MAGA playbook were punished. Elsewhere, President Trump is having a more complex impact.",nytimes.com,2025-05-04T23:34:52Z
"After Leading a Liberal Comeback, Carney Hits the Ground Running",The prime minister will begin broad economic and security talks with President Trump next week and has set a timetable for his new government.,nytimes.com,2025-05-03T10:00:06Z
The World Is Watching Canada,Canada’s greatest opportunity lies in its ability to reframe its place in the world beyond America.,nytimes.com,2025-05-02T05:00:05Z
"Mark Carney Swept Canada, but There Will Be No Honeymoon","The Canadian prime minister achieved a stunning political upset, running on an anti-Trump platform and promising to revive the economy. Now, he needs to deliver.",nytimes.com,2025-04-30T00:38:33Z
Canada’s Liberals Narrowly Miss Out on Majority in Parliament,Final results from Monday’s crucial election showed Mark Carney’s party had secured 169 of 343 seats and would need help from other parties to pass laws.,nytimes.com,2025-04-29T21:42:31Z
Canada Rejects Statehood,The anger in Canada is evident in many other ways; Canadians have always felt close to but distinct from Americans. A hostile America was something they never imagined.,nytimes.com,2025-04-29T18:07:52Z
Mark Carney’s Liberals Win Canada’s Election. Here Are 4 Takeaways.,The former central banker successfully convinced voters that he was the right candidate to confront President Trump’s trade war and threats to annex the country.,nytimes.com,2025-04-29T09:21:05Z
Mark Carney Wins New Term as Canada’s Prime Minister on Anti-Trump Platform,"The election was dominated by Mr. Trump and his relentless focus on Canada. Pierre Poilievre, the opposition leader, lost the seat he had held for 20 years.",nytimes.com,2025-04-29T02:11:48Z
"How Trump, Trudeau and Tariffs Upended Canada’s Political Landscape","After nearly a decade in power, the Liberal Party seemed destined to be swept out on a wave of anti-incumbency sentiment. Then events took a surprising turn.",nytimes.com,2025-04-28T14:30:07Z
"Canada Votes, With an Eye on Trump’s Trade Policies","The two leading candidates, Pierre Poilievre and Mark Carney, both plan to fight the U.S., its largest trading partner, over tariffs. But who would be more successful as relations grow icy?",nytimes.com,2025-04-28T11:53:22Z
Canada Votes,We explain what’s at stake in today’s election.,nytimes.com,2025-04-28T10:50:09Z
Canada Votes: What’s at Stake?,Many Canadians believe Monday’s election is the most important of their lifetime. It will determine who will take on a stagnant economy and deal with President Trump.,nytimes.com,2025-04-28T09:02:04Z
"China Experience Was Once a Plus. In Canada’s Election, It’s a Liability.","Mark Carney, who is running to win a full term as prime minister, has years of experience dealing with Chinese businesses and leadership. It’s become fodder for his opponents.",nytimes.com,2025-04-27T09:01:40Z
Canada’s Extraordinary Yet Uneventful Election Draws to a Close,President Trump’s tariffs and annexation ambitions continue to loom over all other issues in a race without any moments of campaign drama.,nytimes.com,2025-04-26T09:03:19Z
"Climate Change, Once a Big Issue, Fades From Canada’s Election","Even though Liberal candidate Mark Carney has a lengthy climate policy résumé, Trump’s threats have nearly drowned the issue out of the campaign.",nytimes.com,2025-04-26T09:03:18Z
Polls Tighten in Homestretch of Canada’s Election,"Prime Minister Mark Carney’s Liberal Party still appears poised to win, pollsters say, even as its lead over the Conservative Party has shrunk.",nytimes.com,2025-04-26T09:02:11Z
Canada’s Anti-Trump Finds His Moment,"Mark Carney, the new prime minister seeking a full term in Monday’s election, has built his campaign around President Trump’s threats to the country.",nytimes.com,2025-04-26T09:01:22Z
Why Greater Toronto Could Decide Who Wins Canada’s Election,The Conservatives had enjoyed a lead over Liberals in the region largely because of rising housing and food costs. But President Trump’s tariffs have shifted the equation.,nytimes.com,2025-04-24T09:02:00Z
Canada’s Million-Dollar Housing Crisis,"Soaring housing costs, with many homes nearing $1 million, have sparked an exodus from cities like Vancouver, and Canadians want their next prime minister to do something about it.",nytimes.com,2025-04-23T09:01:42Z
