index,title,description,source,date,open_coding_topic,sentiment,sentimental_words
176,Eby tells Carney it was ‘unacceptable’ for B.C. to be excluded in proposed pipeline talks,B.C. Premier David Eby says he wants any potential energy deal between Alberta and the ...,ctvnews.ca,2025-11-25T12:00:00-05:00,National,Negative,"unacceptable"
388,"Feds table $13B for housing in new budget,but this advocate wants to see the details","Prime Minister Mark Carney tabled his first budget in Ottawa on Tuesday,and it includes $13 billion over five years for housing. But a non-profit organization ...",cbc.ca,2025-11-05T18:30:47.000000Z,National,Neutral,
65,May says she'll vote yes on Liberal budget after Carney makes climate commitment,Green Party Leader Elizabeth May offered the Liberals a critical yes vote on Prime Minister Mark Carney's first budget Monday afternoon — just a few hours before members of Parliament...,citynews.ca,2025-11-17T16:32:00-05:00,National,Neutral,
153,Carney wraps United Arab Emirates visit with pledge of $70B to be invested in Canada,ABU DHABI — Prime Minister Mark Carney says Ottawa is working on a $1-billion project aimed at expanding critical minerals ...,cp24.com,2025-11-21T19:04:41.000000Z,International,Positive,"pledge of 70B"
58,"Carney evokes Mandela,looks to trade pacts to help navigate ‘this moment of rupture’",JOHANNESBURG - Prime Minister Mark Carney evoked the legacy of Nelson Mandela in praising efforts by fellow leaders to collaborate amid global…,thestar.com,2025-11-23T03:03:00-05:00,International,Neutral,
404,Xi invites Carney to visit China as leaders meet at APEC summit,Chinese President Xi Jinping invited Prime Minister Mark Carney to visit China as the pair met on the sidelines of the Asia Pacific Economic Cooperation summit ...,cbc.ca,2025-10-31T09:53:41.000000Z,International,Neutral,
314,"After Leading a Liberal Comeback,Carney Hits the Ground Running",The prime minister will begin broad economic and security talks with President Trump next week and has set a timetable for his new government.,nytimes.com,2025-05-03T10:00:06Z,International,Positive,"comeback,hits the ground running"
197,PM Carney is headed to South Africa for G20 Summit after UAE deal,,ctvnews.ca,2025-11-21T12:00:00-05:00,International,Neutral,
40,"David Eby says it is ‘unacceptable’ for Alberta,Saskatchewan to talk pipelines without B.C. input",British Columbia Premier David Eby says he told Prime Minister Mark Carney that B.C. expects to be a full partner on plans for a pipeline as O…,thestar.com,2025-11-24T20:54:00-05:00,National,Negative,"unacceptable"
370,Prime minister says Louis Riel's legacy 'helps to unite' Canada at event marking Métis leader's execution,Prime Minister Mark Carney laid a wreath at the grave of Louis Riel to mark the 140th anniversary of the Red River Métis leader's execution at a ceremony in Wi...,cbc.ca,2025-11-16T20:16:14.000000Z,Public Relations,Neutral,
