index,title,description,source,date
472,"Premier Scott Moe, canola industry leaders to meet with PM Mark Carney Tuesday",Prime Minister Mark Carney is set to meet with Saskatchewan Premier Scott Moe and canola industry leaders in Ottawa on Tuesday afternoon.,cbc.ca,2025-09-16T17:24:27.000000Z
451,Carney government quietly dropped more U.S. counter-tariffs than advertised,"The federal government has quietly removed more counter-tariffs on American goods than initially advertised, according to an order-in-council published online.",cbc.ca,2025-09-25T18:51:49.000000Z
171,Carney says B.C. ‘has to agree’ on pipeline plan from Alberta,OTTAWA — British Columbia “has to agree” on any pipeline from Alberta to the Pacific ...,ctvnews.ca,2025-11-25T12:00:00-05:00
132,What will the Carney government’s 1st budget include? Here are some hints - National,"Finance Minister Francois-Philippe Champagne will present the budget on Tuesday, with experts projecting the government’s deficit skyrocketing this year.",globalnews.ca,2025-11-03T20:20:19.000000Z
13,"Carney says Canada is not for sale, Trump replies, 'Never say never'","Trump has repeatedly discussed Canada becoming another US state, along with sharing plans to acquire Greenland and the Panama Canal",foxnews.com,2025-05-06T12:48:44.000000Z
401,'Why did he promise it?': Poilievre criticizes Carney for not securing U.S. trade deal,"Conservative Leader Pierre Poilievre is questioning why Prime Minister Mark Carney promised he could handle U.S. President Donald Trump, given that the two coun...",cbc.ca,2025-10-31T22:23:38.000000Z
27,Kelly McParland: Swedish jet offer is about more than just planes,Should Carney opt for the Swedish jet it would confirm Canada's determination to make its own choices.,nationalpost.com,2025-11-19T11:00:20.000000Z
327,"Climate Change, Once a Big Issue, Fades From Canada’s Election","Even though Liberal candidate Mark Carney has a lengthy climate policy résumé, Trump’s threats have nearly drowned the issue out of the campaign.",nytimes.com,2025-04-26T09:03:18Z
324,Canada Votes: What’s at Stake?,Many Canadians believe Monday’s election is the most important of their lifetime. It will determine who will take on a stagnant economy and deal with President Trump.,nytimes.com,2025-04-28T09:02:04Z
140,"Carney to announce measures to protect steel, softwood lumber industries: sources",Help is on the way for Canadian steel producers and those in softwood lumber affected by the ongoing trade dispute ...,cp24.com,2025-11-26T19:04:41.000000Z
289,"In Canada’s Northern Outposts, Rusting Relics Once Guarded Against Nuclear War",Strings of radars stretching across Canada were built to give early warnings of Soviet bombers coming over the Arctic. The region now faces a new era of militarization.,nytimes.com,2025-07-13T09:00:32Z
98,Carney says ‘who cares’ comment on Trump talks was ‘poor choice of words’ - National,Conservative Leader Pierre Poilievre hammered the prime minister over his comment during question period in the House of Commons Tuesday.,globalnews.ca,2025-11-25T21:50:11.000000Z
441,5 premiers urge Carney to withdraw court submission on notwithstanding clause,"Five premiers say Ottawa must withdraw its recent call for limits on the notwithstanding clause because it amounts to a ""complete disavowal"" of the bargain that...",cbc.ca,2025-10-07T22:51:35.000000Z
430,Carney to attend Gaza peace summit in Egypt on Monday: Prime Minister's Office,"Prime Minister Mark Carney will be flying out tonight to head to Egypt to attend the signing of a Middle East peace plan aimed at ending the war in Gaza, accord...",cbc.ca,2025-10-12T20:54:18.000000Z
264,Trump Announces Tariff Increase on Canada Over Reagan Ad Spat,"The ad, which will stop airing on Monday, used audio of a 1987 address by Ronald Reagan making a case against tariffs.",nytimes.com,2025-10-25T21:07:12Z
117,2 B.C. major projects on Mark Carney’s list for possible fast-track approval,"Prime Minister Mark Carney announced in Terrace, B.C., on Thursday that two major projects in the province are being forwarded to the Major Projects Office for ...",globalnews.ca,2025-11-13T20:57:25.000000Z
389,Uncertainty for P.E.I.'s federal public service employees as Carney plans to slash 16K jobs,"The federal government is set to slash 16,000 positions — or about 4.5 per cent of the public service workforce — over the next three years and it’s not y...",cbc.ca,2025-11-05T16:11:32.000000Z
195,Carney in South Africa as concerns grow over U.S. boycott of G20,Prime Minister Mark Carney is in South Africa for a G20 summit overshadowed by a ...,ctvnews.ca,2025-11-21T12:00:00-05:00
381,Carney highlights $186M new funding to implement ‘Buy Canadian’ policy,Power & Politics asks Industry Minister Mélanie Joly whether Prime Minister Mark Carney’s Buy Canadian policy could lead to higher prices.,cbc.ca,2025-11-10T23:47:17.000000Z
107,"Sports gambling ads in Canada must be reined in, senators urge in letter - National","A letter signed by more than 40 senators urges Prime Minister Mark Carney to work towards banning sports betting ads in Canada, which highlights the health and ...",globalnews.ca,2025-11-20T21:40:00.000000Z
305,Canada Commits Billions in Military Spending to Meet NATO Target,"Prime Minister Mark Carney promised to hit the alliance’s 2 percent spending threshold this year, seven years ahead of a previous schedule.",nytimes.com,2025-06-09T21:40:56Z
220,Carney honours Riel at Winnipeg ceremony,,ctvnews.ca,2025-11-17T12:00:00-05:00
74,What Canadians can expect from Carney's first federal budget,Glen McGregor breaks down what we know so far on what Canadians can expect from Carney's first federal budget.,citynews.ca,2025-11-03T10:51:00-05:00
385,Why it would be a big deal for Canada to compete in Eurovision,"In this week's federal budget, the Carney government revealed its desire to get Canada into the international singing competition. In an interview with Amy Smit...",cbc.ca,2025-11-07T23:01:44.000000Z
252,"Carney’s 1st budget wins support for infrastructure, immigration plans: poll",OTTAWA — Prime Minister Mark Carney secured broad support from across party lines and provincial ...,ctvnews.ca,2025-11-13T12:00:00-05:00
36,Mark Carney says hurdles remain as tensions rise over pipeline deal for Alberta,"The prime minister said a memorandum of understanding with Alberta will set out ""necessary conditions"" for any federal greenlight to a new oil",thestar.com,2025-11-25T15:30:00-05:00
269,"In Nod to Trump, Automaker Stellantis Shifts Production From Canada to the U.S.",Canadian leaders blame the move by Stellantis to abandon production in Ontario on President Trump’s tariffs. Mr. Trump says he wants to increase production in the United States.,nytimes.com,2025-10-15T16:09:09Z
442,Carney to meet with Trump Tuesday as Canada pushes for tariff relief,Prime Minister Mark Carney will sit down with his U.S. counterpart at the White House Tuesday for their second Oval Office meeting in less than six months as th...,cbc.ca,2025-10-07T09:00:00.000000Z
294,"Carney’s ‘Build, Baby, Build’ Faces Pushback From Indigenous Groups",Prime Minister Mark Carney wants to fast-track nation-building projects to remake Canada’s economy. Indigenous groups want a seat at the table.,nytimes.com,2025-07-05T09:01:09Z
114,Mark Carney attends launch of new branch of Montreal-area light rail network,Prime Minister Mark Carney is among the dignitaries attending the launch of the northwest expansion of a light rail project in the Montreal area.,globalnews.ca,2025-11-14T17:01:49.000000Z
279,A Pay Raise for Canada’s Military to Boost Recruitment and Retention,"Canada’s top military commander, however, says other measures will also be needed to keep people enlisted.",nytimes.com,2025-08-09T10:00:13Z
91,Carney to introduce serious new measures to combat crime in Canada,"Prime Minister Mark Carney has announced new measures to combat crime in Canada. On Thursday, the Liberal government stated it would introduce new initiatives to “protect Canadians and keep communities safe.”",dailyhive.com,2025-10-17T12:00:00-05:00
154,"Carney signs UAE investment pact, launches trade talks during Abu Dhabi visit",Prime Minister Mark Carney signed an investment-protection agreement Thursday with the United Arab Emirates during a visit to Abu Dhabi ...,cp24.com,2025-11-20T19:04:41.000000Z
159,Prime Minister Mark Carney met with cheers and boos at 112th Grey Cup game,WINNIPEG — Prime Minister Mark Carney was on hand in Winnipeg for the 112th Grey Cup game between the Saskatchewan ...,cp24.com,2025-11-16T19:04:41.000000Z
71,"What Carney's 'Buy Canadian' policy could mean for housing, defence",Glen McGregor breaks down what Carney's 'Buy Canadian' policy aims to accomplish amid ongoing pressures from U.S. tariffs forcing local spending.,citynews.ca,2025-11-10T14:59:00-05:00
158,"Minority Liberals narrowly survive high-stakes confidence vote, fending off holiday election","Prime Minister Mark Carney’s minority Liberal government narrowly survived its third confidence vote in as many weeks on Monday, passing ...",cp24.com,2025-11-17T19:04:41.000000Z
348,Carney to announce aid measures for steel and lumber sectors,Prime Minister Mark Carney will announce new aid measures Wednesday aimed at helping Canada's steel and lumber sectors.,cbc.ca,2025-11-26T04:00:43.000000Z
