title,description,source,date
Some B.C. Liberal MPs concerned about prospect of a new oil pipeline: sources,"With Prime Minister Mark Carney poised to sign a ""grand bargain"" with Alberta later this week, some B.C. Liberal MPs are raising concerns about Ottawa possibly ...",cbc.ca,2025-11-25T22:23:31.000000Z
Carney says he made a mistake by dismissing Trump questions with 'who cares?',"Prime Minister Mark Carney said Tuesday he should not have been dismissive of reporters' questions about speaking to U.S. President Donald Trump, conceding he u...",cbc.ca,2025-11-25T20:25:59.000000Z
Carney to join Ukraine coalition call amid diplomacy over draft peace plan,,cbc.ca,2025-11-25T14:11:33.000000Z
Migrants' rights groups call on Carney government to withdraw border security bill,"The federal government's border security bill is an open door to violate the rights of migrants and should be dropped, advocacy groups said on Monday on Parliam...",cbc.ca,2025-11-24T23:13:27.000000Z
"Ottawa, Alberta agree to broad outlines of energy deal, including support for pipeline",Prime Minister Mark Carney and Alberta Premier Danielle Smith have agreed to the broad outlines of a memorandum of understanding that would give Alberta special...,cbc.ca,2025-11-24T21:59:17.000000Z
Carney weighing D.C. trip next week after dismissing questions about speaking to Trump,"Prime Minister Mark Carney dodged questions about the last time he spoke to his U.S. counterpart Sunday, saying 'who cares?' when pressed by reporters to say wh...",cbc.ca,2025-11-24T21:26:56.000000Z
Brookfield executive questioned at ethics committee about Carney’s corporate connections,Brookfield Corporation’s chief operating officer agreed Prime Minister Mark Carney likely wouldn’t have as many conflicts to manage if he had sold off his a...,cbc.ca,2025-11-24T20:51:27.000000Z
"Carney, Modi agree to launch negotiations on new Canada-India trade deal: source",Prime Minister Mark Carney and Indian Prime Minister Narendra Modi have agreed to launch negotiations toward a new trade deal called a Comprehensive Economic Pa...,cbc.ca,2025-11-23T16:13:24.000000Z
Carney signs onto AI and technology partnership with India and Australia,Prime Minister Mark Carney has had Canada launch a partnership with India and Australia on emerging technologies while at the G20 summit in South Africa. The tr...,cbc.ca,2025-11-22T15:34:53.000000Z
Carney meets with world leaders as Ukraine faces 'intense' pressure to accept Trump's plan to end war,"Prime Minister Mark Carney is sitting down with the leaders of the U.K., Germany and the president of the European Council on the sidelines of the G20 to talk a...",cbc.ca,2025-11-22T13:26:13.000000Z
Yukon First Nation refutes claim there’s no opposition to grid tie project,Prime Minister Mark Carney recently announced it’s part of his list of “nation-building” projects. The Major Projects Office has only put up $139 million ...,cbc.ca,2025-11-22T12:00:00.000000Z
Carney attends G20 summit with aim to boost trade — and as Canada cuts foreign aid,"Prime Minister Mark Carney’s visit to South Africa for the G20, which will include a meeting with the country’s president, comes as Canada prioritizes boost...",cbc.ca,2025-11-22T07:00:00.000000Z
"Ottawa, Alberta expected to sign new energy sector deal on Thursday: source","Prime Minister Mark Carney and Alberta Premier Danielle Smith are expected to sign an agreement on the future of Alberta's energy sector on Thursday, according ...",cbc.ca,2025-11-21T23:41:51.000000Z
Carney wraps U.A.E. visit with pledge of $70B to be invested in Canada,"Prime Minister Mark Carney says Ottawa is working on a $1-billion project aimed at expanding critical minerals processing capacity in Canada, while securing the...",cbc.ca,2025-11-21T13:51:16.000000Z
Trump's G20 boycott could make room for Canada to advance other trade talks,Prime Minister Mark Carney is headed to the G20 in South Africa where there could be more space to try and advance trade talks with other countries because U.S....,cbc.ca,2025-11-21T09:00:00.000000Z
Is pharmacare on ice? Health minister says no new deals with provinces in the works,"Canada’s public drug insurance program appears to be in limbo, with the Carney government failing to earmark any new money to expand coverage to the rest of t...",cbc.ca,2025-11-21T09:00:00.000000Z
"Carney signs U.A.E. investment pact, launches trade talks during Abu Dhabi visit","Prime Minister Mark Carney signed an investment-protection agreement with the United Arab Emirates on Thursday, during a visit to Abu Dhabi that has involved li...",cbc.ca,2025-11-20T15:06:42.000000Z
"Government seeks to retroactively change law, potentially avoiding paying veterans over federal error",The Carney government’s budget legislation contains an amendment that lawyers representing veterans say is a bid to cover up a decades-long error that led to ...,cbc.ca,2025-11-20T09:00:32.000000Z
Head of civil service defends Carney’s ethics screen at House committee,Privy Council Clerk Michael Sabia — one of two men tasked with preventing Prime Minister Mark Carney from making decisions in office that would benefit his pe...,cbc.ca,2025-11-20T01:09:32.000000Z
"Carney, Smith moving closer to a deal that could include B.C. oil pipeline: source","Prime Minister Mark Carney and Alberta Premier Danielle Smith are moving closer to reaching a deal on the future of Alberta's energy sector, according to a seni...",cbc.ca,2025-11-19T20:30:59.000000Z
Carney heads to U.A.E. hoping to sign investment pact with gulf nation,Prime Minister Mark Carney is slated to meet with United Arab Emirates President Sheikh Mohamed bin Zayed Al Nahyan in Abu Dhabi with the explicit focus on expa...,cbc.ca,2025-11-19T09:00:00.000000Z
Ottawa names Yukon grid project in new major projects list. What does that mean?,"Prime Minister Mark Carney may have put the Yukon-B.C. grid connection on the latest list of nation-building projects, but Yukoners are no closer to knowing whe...",cbc.ca,2025-11-17T20:13:23.000000Z
Prime minister says Louis Riel's legacy 'helps to unite' Canada at event marking Métis leader's execution,Prime Minister Mark Carney laid a wreath at the grave of Louis Riel to mark the 140th anniversary of the Red River Métis leader's execution at a ceremony in Wi...,cbc.ca,2025-11-16T20:16:14.000000Z
Liberals slammed for 'inaction' by gun control group ahead of Montreal massacre anniversary,A well-known gun control group is telling Prime Minister Mark Carney it would be,cbc.ca,2025-11-15T20:24:16.000000Z
Carney heads to the UAE amid questions about atrocities in Sudan,"Prime Minister Mark Carney will travel to the United Arab Emirates next week, as both that country and Canada face questions over alleged links to actrocities i...",cbc.ca,2025-11-15T09:00:00.000000Z
What will the federal government's Major Projects Office do — and will it succeed?,Prime Minister Mark Carney announced this week a second round of projects he's recommending get fast-tracked by his government's Major Projects Office (MPO) as ...,cbc.ca,2025-11-15T00:36:28.000000Z
Carney wants to boost resource development. Canada's climate legacy hangs in the balance,"At the same time that Prime Minister Mark Carney was announcing a new tranche of major projects his government wants to fast-track, including a new gas export t...",cbc.ca,2025-11-14T19:29:43.000000Z
"Sisson Mine project is long overdue, geologist says",The Sisson Mine project in rural New Brunswick might finally get off the ground after Prime Minister Mark Carney named it as one of the country’s major projec...,cbc.ca,2025-11-14T10:00:00.000000Z
"Danielle Smith supportive of new major projects, says pipeline negotiation ongoing",Prime Minister Mark Carney announced Thursday that seven additional major energy and infrastructure projects were being referred to his government's major proje...,cbc.ca,2025-11-14T00:08:03.000000Z
